Property reference,Postal District,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15
1348,S66,324.42,328.32,324.35,369,331.65,241.67,331.68,363.13,365.43,361.81,305.13,341.65,349.65,333.14,347.16,333.73,249.87,356.63,332.19,325.65,342.03,316.74,347.1,378.55,338.23,340.83,359.87,331.08,282.16,804.6,2063.76,751.58,827.6,413.84,401.29,279.48,328.03,382.96,412.14,349.47,315.87,323.55,352.61,220.41,373.44,381.54,364.62,336.16,339.16,355.34,344.84,330.53,374.22,393.27,417.19,370.54,364.62,373.27,324.72,335.12,385.95,488.6,410.33,352.56,426.4,307.56
1349,S73,158.77,158.68,171.74,170.97,194.94,198.17,238.68,172.16,159.1,102.58,138.73,194.77,171.68,144.04,168.48,218.9,379.81,246.3,241.58,151.68,176,270.78,231.93,202.35,225.65,253.93,283.5,,243.44,273.39,264.35,281.35,240.27,257.87,256.08,277.16,276.39,252.32,263.42,265.83,284.39,280.47,282.69,207.58,220.61,,277.99,271.19,298.39,299.41,274.28,264.03,293.4,295.05,265.04,278.97,295.41,288.23,281.46,237.19,304,290.54,284.52,287.46,313.9,289.74
1351,S75,,,,,,,,,,,,,,,,0.7,0,0,0,121.11,140.83,146.58,134.57,141.41,135.55,178.59,154.89,134.63,128.84,133.27,125.1,131.12,120.9,121.97,118.63,129.29,155.1,150.07,129.11,46.96,9.46,112.65,98.86,117.09,95.9,,,,,,,,,,,,,,,,,,,,,
1353,BD10,272.9,259.46,285.03,266.49,325.69,310.33,288.72,271.39,189.73,273.58,237.8,148.26,0,0,0,0,0,0,0,0.03,0,0.16,0.03,0,0,268.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,BD16,350.55,351.43,373,281.4,372.29,379.83,374.29,228.9,373.63,345.65,363.63,282.06,396.26,444.21,379.91,271.26,359.21,367.07,377.29,365.52,417.07,431.03,460.2,252.13,358.16,301.97,360.03,334.33,533.71,417.86,420.16,240.03,401.63,340.35,400.47,280.55,602.97,533.57,477.08,390.01,481.06,459.69,527.19,286.99,720.24,689.14,636.93,384.51,625.24,568.93,544.24,333.09,505.71,485.22,562.94,408.4,560.55,412.87,454.29,292.91,448.23,892.9,1072.7,810.96,772.08,474.27
1357,LS21,578.35,627.11,585.13,658,713.81,684.07,671.87,357.65,613.03,610.06,574.6,610.55,554.52,570.5,541.48,568.77,429.35,595.57,598.74,353.29,412.65,509.35,505.1,586.01,621.19,608.72,561.47,197,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,YO13,153.16,135.43,118.94,142.07,153.52,128.47,121.65,141.23,141.4,134.58,3069234.46,3078578,920450.06,0,4.03,111.7,126.45,90.8,131.77,90.77,40.17,130.65,132.6,134.05,139.45,127.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,YO14,528,676.04,514.19,506.4,535.23,513.73,480.68,510.55,448.2,185.65,0,0,0,421.75,438.26,569.57,434.06,493.37,437.42,475.16,544.9,462.55,392.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,YO22,107.68,1380.14,566.35,175.53,165.39,158.23,150.65,158.65,168.77,537.74,1173.4,515.35,429.84,708.43,507.68,195.8,165.58,143.97,1064.81,0,466.17,390.87,1247.9,375.48,0,0.21,67.72,191.25,220.06,143.47,158.29,136.1,166.09,91.61,180.7,173.32,184.74,194.21,237.08,175.54,184.87,172.35,158.55,137.21,,,,184.31,165.02,190.59,187.04,192.71,147.08,158.55,175.83,,,,,,,,,,,
1362,HU5,391.45,390.18,372.74,378.83,459.42,450.33,443.68,368.84,369.43,399.39,403.53,451.48,432.84,387.71,360.97,365.37,399.42,371.1,425.06,455.45,369.2,381.52,353.13,392.55,1193.48,578.66,507.77,506.61,502.03,374.49,399.68,13.13,1905.33,170.92,400.17,359.32,374.23,372.79,362.65,469.39,418.62,388.32,392.49,407.47,356.14,331.61,349.45,351.99,370.86,353.64,484.23,628.32,831.37,454.53,594.93,340.72,383.55,1176.01,1912.56,2060.91,3090.63,3971.12,2048.33,378.42,439,369.57
1365,YO16,20088.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,S6,235.77,242.68,259.52,309.13,373.06,305.93,366.21,325.81,418.63,399.71,366.9,363.55,300.1,257.11,252.03,372.33,442.03,384.53,297.26,1.32,1.33,224.39,268.7,199.86,258.06,209.21,0,0,0,0,42.87,160.42,161.2,170.29,152.17,160.64,158.84,132.79,125.92,253.41,139.41,,124.06,301.7,381,1653.85,427.41,461.29,709.85,1362.35,537.45,302.09,227.88,183.66,150.04,138.77,230.01,239.63,234.03,186.33,189.2,203.59,260.09,241.67,277.17,352.41
1369,WF2,416.1,423.25,430.26,500.1,428.13,355.17,370.87,301.29,377.13,404.81,362.93,323.81,349.87,48.91,0,0,0,0.07,0,281.77,257.21,92.61,0,0,0,236.93,385.35,393.83,368.23,358.32,356.95,281.29,331.97,340.77,313.43,344.64,218.65,226.81,127.48,2.85,0,0,0.06,0,,,,,,,,,,,,,,,,,,,,,,
1370,S63,73.1,175.96,314.03,174.23,379.97,281.47,239.61,281.03,211.63,366.65,340.53,281.55,367,381.75,333.55,296.47,294.58,342.8,323.23,187.61,380.6,396.55,374.73,346.26,336.03,361.07,372.12,356.97,292.06,353.34,398.26,365.97,205.77,0.06,0,0.48,119.44,411.75,402.14,396.75,436.93,411.51,417.87,422.49,397.99,351.12,349.11,278.42,272.55,313.33,185.19,285.48,290.26,272.25,255.66,246.69,322.19,294.79,273.06,293.05,278.59,228.18,206.15,219.98,225,247.23
1372,S8,3697.1,1948.71,364.39,3537,2787.1,3517,3158.42,226.61,275.03,300.26,299.47,209.94,0,0.18,0.16,0,0,0,0,363.13,315.57,338.86,378.43,357.47,338.68,381.35,377.82,340.05,332.35,238.64,317.61,307.55,364.7,379.84,336.53,345.16,363.74,329.98,325.89,334.46,286.55,330.45,1130.9,0,104.13,0,0,118.65,68.78,82.86,78.65,,,,,,,,,,,,,,,
1373,S6,271.19,267.46,214.74,211.97,284.9,269.93,242.83,221.3,195.93,145.61,253.5,271.52,250.9,258.39,353.48,226.97,233.61,182.6,234.26,249.65,268,199.39,219.67,263.48,241.55,236.66,259.39,306.79,271.74,227.75,131.16,172.84,165.93,149.46,220.57,230.92,233.64,212.39,256.09,235.77,164.09,184.62,201.08,199.25,204.31,0,,264.32,68.63,147.38,245.26,275.58,230.01,25.59,106.15,234.12,166.2,201.22,228.72,239.95,240.62,239.11,238.49,247.53,187.95,168.66
1374,S11,301.26,318.21,296.24,283.56,382.57,299.26,321.47,275.36,277.52,289.69,290.28,280.04,273.41,276.05,291.93,377,349.18,304.71,326.72,1864.65,2723.33,1620.84,267.7,250.82,255.58,313.76,270.75,275.56,267.45,286.86,294.55,293.69,270.7,247.76,267.3,255.91,257.1,186.42,324.99,292.56,632.57,293.73,287.56,298.97,277.32,298.07,274.02,285.36,250.35,250.22,595.71,943.21,264.83,265.89,281.06,295.81,314.7,295.87,246.51,248.14,235.65,240.56,255.14,245.04,269.77,275.04
1375,S35,402.1,358,408.94,399.77,409.71,401.63,419.9,392.06,345.1,457.03,413.37,461.94,435.94,395.43,401.32,362.17,441.42,402.8,434.13,456.71,304.35,366.84,420.4,411.61,466.1,421.69,463.23,438.93,438.19,414.11,324.64,437.84,356.93,311.29,340.53,392.81,199.56,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1379,S72,2306.52,2347.36,2245.62,194.9,256.23,194.67,250.43,281.22,196.87,271.87,232.77,260.45,283.9,323.93,307.29,333.53,443.33,4139.42,4533.97,5209.32,5496.63,6368.58,7043.7,7570.94,8339.35,8935.07,9390.85,9501.73,10243.96,10290.6,10306.23,10401.84,10560.13,11278.58,11400.8,11542.84,11683.52,12045.22,12423.59,12756.55,13092.28,13405.28,13470.53,,,,,,,,,,,,,,,,,,,,,,,
1382,S8,381.13,285.68,270.29,351.33,315.13,424.97,345.59,284,336.93,262.55,312.47,325.58,326.55,275.61,319.16,293.9,280.29,418.77,283.92,264.93,311.43,302.09,,,,,344.36,253.17,321.71,270.78,223.89,247.52,307.9,299.65,299.07,322.49,327.22,290.25,336.52,300.33,355.73,327.81,368.65,179.85,315.69,306.12,255.91,,310.41,286.65,311.37,261.39,295.39,296.5,332.91,276.74,380.22,329.2,370.59,351.32,363.08,374.72,398.01,305.22,349.03,367.08
1384,LS14,1469.32,1723.11,694.97,290.2,264.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,WF17,113,144.86,129.29,115.07,113.94,125.1,114,110.81,145.07,105.65,151.67,103.19,27.35,6.46,0.06,0.04,,,13.31,4.07,7.67,1.9,8.03,1.77,31.97,18.48,5,264.63,286.2,324.42,687.74,2857.9,356.63,345.66,325.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,BD6,108.16,239.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,HD7,270.99,295.18,293.77,309.16,306.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,BD6,298,18.14,0,0.14,,,,,,,82.95,219.61,297.79,294.09,267.7,295.91,291.77,286.57,296.41,286.57,239.71,260.73,280.44,260.65,250.1,218.07,258.51,243.54,229.06,265.08,285.59,267.57,139.44,0,0,0,126.58,216.92,231.86,295.12,231.39,250.92,257.98,250.17,561.42,518.28,234.9,240.85,200.79,198.8,218.06,196.95,197.65,195.06,212.2,235.05,200.28,231.13,229.08,195.97,218.87,206.23,216.6,241.65,281.67,230.72
1390,WF12,194.55,196.36,173.65,198.17,270.97,183.87,117.13,139.35,172.87,159.55,157.23,170.71,158.97,231.43,263.1,251.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,LS24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.28,128.39,161.07,137.24,131.14,114.21,135.43,127.23,133.61,139.7,131.34,128.51,130.32,129.08,125.55,128.32,109.45,120.39,134.27,136.68,133.93,147.51,144.39,150.63,133.65,116.94,139.39
1394,HU12,275.9,292.36,282.97,271.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,BD19,287.1,257.82,213.05,230.9,242.23,249.63,150.35,108.61,168.7,184.55,174.1,197.65,211.68,198.21,189.84,356.37,314.32,339.23,297.13,283.39,331.19,338.42,274.37,237.19,258.71,375.07,328.16,247.75,230.13,191.93,234.29,190.19,230.3,201.65,203.93,194.55,202.03,234.05,253.08,253.8,136.2,196.44,187.4,188.62,182.97,185.31,198,245.85,216.61,184.95,222.46,232.35,186.36,127.37,196.95,197.48,203.28,193.79,203.58,210.14,214.9,210.09,220.54,241.59,229.56,187.8
1401,HD4,128.84,341.82,44.31,303,348.16,353.27,250.16,392.42,365.17,271.19,302.93,272.55,0,0,0.52,0,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,HD8,293.78,248.56,135.83,256.87,177.11,334.78,292.28,156.41,287.12,178.19,291.27,303.95,304.84,315.32,166.51,268.45,310.84,368.57,308.75,302.34,294.19,32.76,285.63,301.79,297.04,248.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,HU8,574.61,532.86,546.84,557.3,584.71,819.07,786.65,468.68,567.6,621.94,620.5,644.58,696.35,563.89,670.29,700.73,715.55,713.07,772.61,529.26,630.56,652.9,546.33,615,699.42,538.34,645.05,626.7,617.1,607.33,654.29,571.51,576.75,469.87,543.93,605.48,584.95,583.71,551.02,603.6,605,623.16,825.33,523.25,549.57,481.85,421.65,515.67,407.92,446.75,483.64,622.32,610.49,690.33,767.98,676.6,759.13,527.05,398.25,519.33,493.11,375.36,304.12,423.59,499.44,345.67
1408,HU3,202.61,199.32,183.9,204.53,198.06,178.7,176.13,170.13,162.97,169.9,168.47,230.32,198.97,197.82,254.06,195.87,159.87,153,188.42,181.61,108.37,175,176.23,183.8,178.06,172.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,DN5,323.52,312.14,326.97,338.47,281.58,384.4,184.52,0,0,141.97,340.2,277.16,277.23,305.29,333,357.99,170.74,0.03,0,329.71,279.17,271.26,348.9,319.77,245.45,222.34,222.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,HU15,371.83,358.75,259.94,295.9,265.39,375.33,457.19,332.45,328.2,323.06,345.37,338,339.19,378.89,287.32,225.97,406.13,356.63,262.23,320.94,269.53,288.81,304.67,329.32,288.74,315.48,326.45,341.53,283.45,250.93,270.45,423.03,182.3,341.48,314.53,296.19,324.29,304.97,223.48,243.78,272.49,311.04,450.23,367.05,196.23,244.7,,,285.18,199.86,204.5,181.8,230.28,279.15,423.9,273.48,221.76,214.78,306.72,362.74,290.27,275.56,149.45,265.26,199.8,118.25
1415,S71,1.1,153.75,153.19,140.83,167.06,128.6,147.13,191.84,157.43,122.1,160.3,145.13,355,188.79,222.97,191.1,183.52,120.63,152.52,210.52,196.73,171.94,157.33,137.71,107.06,107.93,130.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,BD22,220.68,234.39,199.39,199.47,149.9,226.1,208.23,260.71,293.43,338.36,294.72,,,,,231.75,245.26,200.33,214.9,234.55,120.4,212.97,173.9,250.64,239.58,251.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,HD4,369,360,221.38,347.78,386.13,451.77,398.84,461.94,380.37,369.97,389.02,,0.58,0,0,0.07,0,10553.22,422.1,0,0,0,0,0,0,137.62,346.64,421.4,325.94,502.43,309.61,310.58,232.97,286.71,270.47,266.32,274.03,305.79,261.27,269.44,289.02,366.15,401.48,,276.3,249.39,258.99,251.3,274.24,258.69,258.61,256.35,256.79,259.98,238.3,282.02,130.06,316.05,337.62,293.95,277.84,225.32,202.33,195.51,198.67,206.84
1421,DN7,0.16,0,0.35,0,0,0.07,0,0,0,0,0,,,,,0.6,0,0,0,0,324.8,393.03,443.37,375.81,327.81,397.31,34.71,231.63,730.97,651.82,5113.55,3842.52,1325.77,283.48,15.27,12,512.64,548.43,558.57,499.87,479.99,668.7,874.1,0.47,,447.62,547.38,485.13,537.76,309.38,,,,,,,,,,,,,,,,
1422,LS14,371.61,372.29,342.68,372.77,375.06,435.3,339.35,316.64,375.61,374.71,372.04,,,1.08,16.52,1521.5,342.29,406.73,782.06,332.87,310.53,378.77,341.6,362.29,218.84,0,112.93,540.7,8944.35,3047.29,2957.33,251.97,402.97,407.13,379.87,395.26,397.06,426.07,138.32,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1423,DN14,314.03,361.04,447.48,552.4,425.9,322.03,431.03,379.87,300.53,386.84,436.47,337.84,383.35,321.82,432.39,377.07,435.48,325.7,315.16,337.48,118.71,,,327.26,395.97,382.75,331.48,252.4,245.75,292.8,4.26,183.48,256.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,LS11,176.1,164.54,181.61,160.9,149.29,173.07,193.03,261.48,481.1,508.23,728.7,660.13,277.58,319.04,322.06,218,209.61,205.67,217.52,209.9,223,220.39,254.97,161.23,211.94,195.31,196.9,267.87,276.58,208.71,229.61,165.77,140.83,141.35,138.67,185,180.21,175.04,192.5,0,0,61.52,287.65,237.83,267.03,254.51,356.53,398.32,491.61,611.9,526.38,568.28,344.81,498.96,475.04,498.1,0,,,,,,,,,
1432,WF12,236.26,239.46,248,282.77,324.23,322.83,280.9,279.45,250.87,251.27,,,,,,,,,,,,,,,,363.67,369.39,388.17,730.34,603.27,313.94,335.65,302.47,278.42,274.2,284.35,282.36,268.84,266.56,360.07,393.68,341.94,407.47,400.5,327.37,,2428.83,0,109.83,320.21,337.38,367.53,339.45,352.05,352.68,326.15,344.94,327.05,319.95,315.2,334.28,329.95,333.83,369.15,343.51,535.36
1433,BD18,231.77,165.68,215.9,252.3,241.45,222.17,248.81,175.68,43.67,112.32,160.77,164.9,222.32,220.79,79.84,0,197.82,176.77,189.65,127.65,195.9,184.42,193.5,177.71,205.06,139.9,160.66,291,167.94,143.37,184.9,113.39,202.4,198.58,198.67,180.24,202.87,177.96,200.04,202.19,232.95,183.66,6262.15,14841.21,223.62,211.06,179.67,201.8,194.19,209.73,223.31,206.7,201.89,191.67,144.72,172.08,,,,,,,,,,
1434,S63,,0,254.16,286.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,WF10,0,0,2.23,0,0.48,6.47,251.58,278,,30.17,2514.7,0,1.06,0,0,0,0,0.43,0,226.9,299.8,348.61,317.8,283.22,296,322,366.86,349.33,445.55,478.24,598.77,280,273.7,270.55,257.43,244.93,293.82,313.75,291.02,333.44,323.68,388.21,1069.84,361.58,160.17,278.55,347.73,351.2,393.74,361.41,399.45,408.3,210.43,394.08,457.75,400.01,332.46,311.23,331.56,319.47,160.93,326.35,337.25,343.47,366.88,505.96
1436,S6,,,149.29,101.53,122.84,75.93,97.68,125.76,149.93,138.97,147.27,165.23,138.74,140.82,112.19,131.17,136.68,91.73,106.97,118.03,191.63,116.61,146.57,170.13,128.52,119.31,106.81,115,115.87,115.32,110.52,126.33,162.4,116.58,152.97,149.32,129.16,114.26,133.22,119.51,148.82,146.13,122.34,149.11,132.67,160.43,131.01,138.27,141.04,110.15,130.76,137.2,142.02,112.92,109.48,111.69,100.2,125.54,120.03,142.78,140.92,130.18,109.74,105.3,137.47,137.92
1437,DN14,978.84,823.96,853.39,763.17,780.03,797.1,957.55,934.32,712.67,634.19,694.57,858.42,817.9,729.68,796.32,902.87,786.87,953.87,834.77,655.77,691,776.42,776.9,850.37,746.48,578,561.58,718.02,529.26,668.22,732.22,860.34,706.37,654.06,701.17,854.19,776.43,734.54,745.08,738.6,575.33,967.14,2951.89,0.6,603.7,522.99,518.91,669.25,619.49,526.09,553.04,710.46,515.35,637.83,616.76,652.56,342.18,455.2,513.18,626.37,456.36,461.09,562,252.42,467.94,605.41
1443,HG2,112.13,102.46,88.74,51.8,145.39,70.73,62.55,68.71,65.5,71.68,80.67,75.87,80.25,,0,0,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,HD6,187.35,99.14,107.37,112.72,93.13,157.63,163.77,163.32,89.63,,,,91.01,105.64,125.44,126.92,101.48,103.78,95.9,74.47,,,,205.12,165.87,121.91,94.99,84.8,0.13,74.07,212.63,177.66,102.15,226.9,198.25,180.65,251.71,216.63,202.39,189.69,127.15,174.48,153.84,161.96,89.72,16.23,187.75,161.74,188.62,204.36,185.26,264.99,282.89,277.05,270.55,165.75,157.26,183.02,176.25,180.58,178.61,176.5,176.1,173.23,188.54,189.68
1445,LS14,147.97,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,HU6,256.65,270.89,246,271.07,288.1,287.6,257.29,238.77,203.95,,,,295.43,246.68,272.03,326.43,353.51,379.7,419.45,368.32,332.83,369.52,330.9,393.29,421,393.21,368.87,422.53,357.23,,,,502.03,444.13,431.03,436.65,391.29,374.14,232.77,77.4,90.22,89.62,117.66,114.85,122.04,78.97,81.63,69.77,78.06,82.54,87.87,103.48,103.79,132.15,136.57,114.36,126.27,116.1,103.17,102.25,97.87,111.86,124.03,117.57,116.01,117.99
1448,S6,406.13,26.79,0.42,0,348.1,462.13,336.73,,0,189.71,384.9,489.29,422.71,410.5,399.16,323.8,384,543.97,378.92,5.99,344.5,458.32,541.93,9882.1,1972.58,309.69,453.18,410.23,402.83,365.4,386.55,,,,,505.58,435.52,329.19,426.75,536.61,397.31,425.79,373.87,256.59,430.92,452.21,447.6,475.05,450.78,427.79,429.87,246.42,448.57,388.35,437.83,425.83,390.99,330.34,407.25,432.32,437.05,,453.37,431.52,434.73,
1449,YO11,300.13,336.75,289.68,373.23,264.35,356.17,331.68,269.26,230.33,130.61,233.43,215.69,,,,574.5,231.42,293.3,302.65,209.94,336.93,11318,4704.17,335.81,317.68,86.79,,4742.17,172.58,214.09,217.65,169.16,201.63,201.03,202.97,190.32,225.71,189.31,213.76,144.84,248.81,257.88,386.74,287.74,30.6,,,253.41,230.52,212.72,296.93,264.69,249.59,294.18,171.52,45.29,212.46,194.11,233.31,207.32,218.76,164.22,215.47,281.61,209.09,232.58
1450,YO12,12.42,15.07,239.06,338.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,WF16,316.23,261.64,249.51,0,0,211.77,318.71,310.35,350.6,371.03,429.13,433.32,393.19,234.43,322.48,336.13,323.81,368.97,352.87,222.06,374.37,1371.29,376.77,439.48,306.1,282.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,BD12,46.26,50.29,48.97,51.87,55.03,65.53,1.19,0.68,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,BB18,97.52,83.82,,107,78.65,116.5,76.23,76.23,93.23,109.19,90.33,80.45,90.19,96.29,95.39,97.17,96.65,105.23,113.45,158.77,165.47,142.42,149.57,105.84,164.71,138.1,121.55,109.77,127.77,109.2,86.65,102.84,104.9,95.87,100.6,91.03,90.81,98.93,93.74,98.87,95.58,92.9,84.19,125.32,131.19,114.77,89.51,140.86,103.71,110.1,123.61,111.28,117.84,108.63,125.87,120.45,117.5,140.06,47.6,0,51.73,126.71,136.61,104,111.55,122.11
1456,WF4,458.55,434.89,385.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,S8,337.81,395.57,388.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,DN14,2806.77,3796.43,3494.55,455.7,387.02,433.52,,,301.44,268.06,335.37,340.9,321.13,284.11,345.52,464.73,441.45,314.07,382.42,414.45,227.83,210.06,256.37,382.29,232.1,211.93,231.74,316.67,231.68,176.88,339.03,369.16,228.8,391.45,297.77,291.55,252.79,161.78,309.84,399.36,321.82,256.29,406.83,442.05,456.24,343.71,0,0.41,0,117.3,284.28,389.22,443.34,335.44,465.76,589.56,359.82,328.3,368.13,337.85,373.59,347.66,306.15,366,369.49,299.66
1460,HX1,40.14,321.63,280.58,204.46,318.1,161.03,0,0,0,0,,189.38,233.45,233.43,308.93,308.38,275.02,287.97,252.98,230.52,227.26,235.73,222.18,203.35,205.14,216.73,146.02,161,212.59,193.01,221.31,114.09,198.49,171.77,184.42,173.5,206.44,148.66,178.16,34.03,55.6,23.97,0.23,0.41,4.29,0,0,0,0,0.29,0,0.18,0,0.45,0.47,,,,,,,,,,,
1461,BD21,158.37,137.98,173.7,195.41,244.66,276.62,212.18,106.27,245.68,208.56,220.73,254.15,217.15,,88.69,266.47,208.58,274.1,218.87,120.27,203.55,245.92,210.68,253.26,205.44,138.26,202.97,230.33,258.56,199.35,164.22,104.81,214.87,221.33,230.28,216.68,187.61,178.75,177.36,226.22,221.43,248.19,61.92,227.07,257.54,212.92,211.58,221.14,212.37,195.53,111.6,223.01,215.89,224.76,158.72,111.92,214.46,200.87,192.54,194.98,194.14,191.76,197.76,174.87,217.13,196.42
1462,BD8,936.06,895.32,842.77,984.14,976.75,1113.23,1124.16,1138.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,LS10,500.45,509.64,453.84,493.63,490.39,498.17,407.58,446.32,486.73,522.9,461.73,494.16,521.74,513.89,511.26,279.17,503.03,547.6,395,488.8,497.9,466.19,466.67,528.03,505.94,484.28,480.65,461.61,474.27,513.99,435.33,518.58,498.98,426.74,468.33,452.1,523.6,524.01,551.65,458.19,450.26,542.64,565.66,536.69,538.95,642.87,547.48,624.66,595.8,617.56,563.82,570.44,627.18,557.28,543.83,453.09,584.22,552.48,537.72,537.01,552.66,519.81,453.5,521.22,581.78,505.12
1467,LS11,312.74,434.39,463.29,611.72,,,494.64,520.06,480.07,374.11,395.33,422.61,428,365.5,344.74,398.9,614.68,741.53,,520.6,471.03,459.55,550.2,559.46,590.23,607.5,524.56,566.53,509.35,506.23,458.51,612.35,558.46,549.76,393.8,362.11,327.92,317.75,264.99,349.75,330.79,331.01,416.82,267.53,254.13,299.06,283.23,319.75,359.71,314.33,337.74,442.11,360.01,,0.41,40.87,388.8,372.86,354.12,362,371.64,314.81,428.56,461.16,366.1,353.69
1468,HU6,181.52,161.07,160.32,176.57,208.03,252.97,247.52,174.61,193,181.77,174.27,157.16,155.1,147.96,167.16,172.17,171.71,247.1,180.61,182.13,225.27,173.26,164.17,230.23,167.29,173.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,LS17,1274.55,369.71,608.61,334.37,278.03,364.67,364.42,461.77,439.43,416.77,307.93,467.39,469.65,394.86,788.31,971.43,3382.1,548.8,0,23.35,331.7,395.16,428.27,433.84,524.87,421.65,289.96,357.4,345.35,358.22,350.45,286.06,344.83,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,BD4,0,26.36,41.65,40.27,39.97,51.7,348.06,365.48,370.33,375.16,387,403.87,380.97,352.86,409.03,353,397.44,345.33,323.55,405.81,357.33,368.71,429.33,382.58,361.94,3898.37,37012.98,2376.29,373.35,315,354.84,340.32,309.67,322.26,381.7,377.74,108.94,40.21,45.6,41.76,38.73,32.97,35.51,35.42,27.18,733.01,45.04,31.33,35.94,36.32,31.35,72.04,32.63,28.86,33.71,353.47,35.19,30.37,32.61,33.27,52.52,41.91,43.62,41.55,30.34,30.49
1471,S66,539.55,476.64,532.68,557.83,67.68,31.63,581.48,517.58,455.83,437.87,531.83,613.1,604.06,503.5,487.58,483.83,504.9,546.1,534,428.65,192,,,533.2,501.71,423.41,463.42,,538.7,545.13,607.94,598.9,448.93,423.48,586.4,548.77,528.19,570.95,587.69,476.01,560.36,606.03,476.51,461.35,467.67,374.2,440.34,481.26,506.61,495.1,536.89,560.28,538.49,546.12,443.5,461.76,501.99,522.87,531.12,525.22,444.25,566.68,550.86,521.82,563.98,507.53
