Property reference,Postal District,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15
90,BD19,430.25,431.82,286.5,192.82,165.66,202.99,136.26,78.05,0,105.87,407.18,381.84,394.58,,,472.62,427.57,325.78,540.18,470,421.43,451.53,410.53,444.58,462.81,411.3,462.9,475.31,449.62,468.57,331.65,460.1,475.69,367.58,486.35,454.52,496.19,500.69,450.8,486.18,696.43,,510.31,,,389.09,402.67,455.81,477.16,571.42,580.38,633.47,546.39,576.48,771.5,572.14,543.78,551.93,502.38,558.49,549.17,552.41,524.93,635.52,622.63,55.7
91,BD21,402.23,349.57,348.84,352.1,370.42,373.93,328.9,333.39,248.93,368.61,405.87,523.23,459.71,432.57,404.61,341.03,398.9,398.67,414.97,325.23,322.85,309.74,279.2,317.71,309,348.48,336.31,352.25,367.84,379.8,319.23,359.58,367.69,344.77,322.5,367.65,335.26,381.32,361.93,302.25,321.68,328.05,319.85,339.22,330.03,321.29,444.96,363.43,370.83,380.09,395.65,405.24,336.92,360.9,441.38,303.94,315.12,327.98,327.48,423.03,397.8,404.79,327.1,420,372.02,399.63
92,BD19,321.23,299.32,93.46,316.98,347,315.7,319.45,356.55,296.23,381.35,349.3,335.1,347.45,364.36,311.84,337.33,371.06,348.5,477.77,368.94,354.3,367.23,37.73,304.49,365.23,227.55,309.52,436.97,313.94,319.93,312.91,392.42,408.27,324.84,353.36,375.06,340.71,346.46,265.6,274.47,305.01,238.65,342.84,271.71,244.32,252.29,231.37,0.23,70.41,249.98,,,,,,,,,,,,,,,,
94,BD20,360.29,344.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,BD20,556.23,316.29,349.16,237.63,378.13,403.57,450.77,315.1,418.97,288,489.67,508.42,444.94,434.96,401.52,423.17,330.61,343.43,365.84,101.81,358.4,268.52,299.93,403.58,324.65,249.28,304.43,185.01,374.72,384,427.98,450.77,519.93,472.26,458.03,502.03,430.06,345.67,352.66,195.78,250.06,399.54,561.51,406.62,374.33,0.08,44.58,440.19,193.7,384.58,,378.75,210.79,205.8,398.47,351.59,257.1,261.93,318.93,421.81,178.69,353.57,223.55,372.84,249.1,363.66
99,BD21,711.87,690.14,781.68,524.77,821.11,,,,,,,,,,,,,,,,812.76,812.55,713.5,774.39,652.41,743.59,671.64,670.53,676.93,617.4,658,623.77,637.67,590.58,593.77,535.03,511.52,571.14,499.18,511.35,498.45,664.66,525.27,633.65,575.98,482.81,393.06,429.3,530.51,537.97,411.83,144.5,423.75,393.93,553.99,445.56,421.5,518.49,487.31,427.49,728.25,380.01,1446.15,1256.67,559.14,2221.34
103,BD21,128.68,140.86,135.06,135.53,148.35,123.53,135.42,116.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,BD20,0.71,236.64,228.13,175.43,126.97,307.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,BD22,180.55,113.68,266.94,270.77,313.74,350.63,297.65,431.26,301.77,223.97,242.93,232.94,84.94,0,0.26,0,0,0,0,0,220.6,211.13,196.4,199.55,191.52,226.55,263.93,273.42,259.61,215.07,250.88,222.94,217.3,260.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,BD20,441.87,3170.82,1306.06,274.03,556.45,585.9,405.87,0,0,284.26,408.77,345.45,352.45,436.39,455.68,597.3,505.68,477.67,566.26,425.48,440.17,452.06,440,369.32,428.64,445.1,418.16,430.02,474.13,475.62,481.63,510.26,439.94,453.29,333.23,473.74,447.1,436.57,437.25,456.24,454.87,528.27,593.48,508.31,519.45,519.91,472.66,301.25,411.82,397.16,426.21,485.34,517.04,480.18,647.78,484.81,492.63,517.27,458.82,326.9,461.06,436.73,441.75,416.73,432.35,453.09
116,BD22,221.29,211.12,,191.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.42,209.61,113.87,182.58,196.03,210.97,154.81,215.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,DL8,201.65,218.25,224.97,211,229.48,533.17,247.42,239.03,181.3,206.81,212.12,192.1,205.26,193.89,206.16,343.9,211.03,313.7,355.48,232.13,223.53,210.23,221.87,213.16,221.29,217.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,DL7,294.81,241.63,259.65,312.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,DL6,0,0,0,0,,,,,,,460.56,531.29,483,400.18,404.71,319.27,287.48,151.27,145.97,185.9,175.7,203.29,164.4,141.77,179.16,138.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,DL10,,,,,,,,,,,322.86,304.19,342.39,255,296.35,389.73,77.03,24.4,270.97,270.29,0,0.06,0,0,0,266.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,DL9,132.42,181.79,202.94,228.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,DL10,482.71,594.39,521.48,630.07,553.61,556.07,568.35,532.94,556.9,529.58,421.3,474.87,529.94,598.79,275.19,13,4.19,3.93,16.39,,,,,549.46,813.82,579.63,839.62,702.63,758.39,813.53,544.9,811.71,944.6,926.23,898.77,559.35,0,0,504.83,703.06,706.96,640.71,741.18,687.11,165.42,130.53,387.21,13,102.83,829.67,1133.18,1095.15,1145.67,1081.92,626.45,113.46,1088.16,988.29,1121.73,1087.58,1040.23,1000.54,1083.45,1159.83,1061.74,869.5
128,DL10,0,0,0,23.3,124.16,119.97,222.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,DL10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,DN1,148.61,170.29,160.77,139.7,226.55,224.93,,,,,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,36.45,166.69,190.13,223.76,165.54,165.42,193.15,857.06,380.8,1.03,0,130.41,190,161.14,169.48,183.76,161.42,169.05,162.61,153.75,112.28,126.7,100.26,150.71,308.47,205.3,140.92,133.52,111.89,115.17,111.11,116.57,130.92,103.38,100.35,96.18,105.56,143.58,146.43,121.83,199.19,149.93
133,DL9,,,,224.23,447.74,346.33,422.74,584.61,494,347.42,235.4,288.39,195.48,153.7,,,,,40,28.42,26.53,27.58,23.53,25.48,20.16,17.17,154.84,71.73,8.42,65.72,251.39,293.22,250.33,232.58,207.66,179.96,144.13,149.64,162.09,182.39,174.8,14.4,0,,0,71.02,161.16,153.23,160.23,161.74,158.99,170.1,210.41,176.67,205.37,147.34,169.89,163.54,158.34,159.79,142.95,147.99,144.29,156.32,134.16,132.71
134,DN6,322.35,292.57,272.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,DN2,3.52,0,49.58,185.67,168.32,176.37,183.71,192.55,169.33,186.94,169.5,144.58,139.65,163.68,149.16,166.7,168.35,166.37,175.52,155.97,187.2,203.26,192.7,166.84,173.13,187.59,179.03,249.33,188.49,169.1,170.52,168.48,163.73,293.9,212.27,0,48.97,192.57,206.45,161.38,178,139.95,179.09,177.69,175.35,163.95,153.96,111.48,157.73,156.18,169.9,170.64,175.27,167.49,177.56,183.37,158.67,166.41,180.9,173.96,150.3,130.5,132.03,139.59,153.61,159.16
138,DN3,53.32,51.93,95.94,53.9,69.06,103.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,DN3,0,0,42.61,92.17,185.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,DN3,219.1,288.57,325,339.93,412.65,419.73,214.13,30.26,0,0,0,0,0,0,0.19,0,0,0,0,75.52,413.3,350.29,348.1,360.52,336.77,393.45,397.1,326.67,354.74,373.31,275.13,361.87,342.63,336,337.67,320.52,343.68,366.64,337.49,339.24,356.57,355.62,347.95,308.76,344.1,320.31,233.71,0,71.57,217.22,232.76,214.02,309.43,372.45,373.33,381.86,445.23,346.5,331.05,319.62,281.53,336.47,361.64,296.82,331.55,363.84
