Reference,Road,Ward,Defect,Recorded,Completed,Cost,Easting,Northing
HWO2509806,PEEL STREET - (Morley South) - 23022853,Morley South,Pothole Cwy,24/03/2025,31/03/2025,71.11,426659.1695,427734.5209
HWO2509802,COLTON ROAD - (Temple Newsam) - 23003561,Temple Newsam,Pothole Cwy,24/03/2025,25/06/2025,71.11,436386.8977,433599.03
HWO2509801,HIGH STREET - (Wetherby) - 23021905,Wetherby,Pothole Cwy,24/03/2025,01/04/2025,71.11,444431.8285,444795.9506
HWO2509799,LANGBAR ROAD - (Cross Gates and Whinmoor) - 23007274,Cross Gates and Whinmoor,Pothole Cwy,24/03/2025,16/05/2025,71.11,436741.3566,436427.1557
HWO2509798,MANOR PARK AVENUE - (Kippax and Methley) - 23021678,Kippax and Methley,Pothole Cwy,24/03/2025,28/03/2025,71.11,441551.2913,428105.68
HWO2509797,SPEN LANE - (Weetwood) - 23011197,Weetwood,Pothole Cwy,24/03/2025,09/04/2025,71.11,426064.818,436623.4056
HWO2509795,CARLTON LANE - (Guiseley and Rawdon) - 23020840,Guiseley and Rawdon,Pothole Cwy,24/03/2025,24/03/2025,71.11,420256.808,443116.5172
HWO2509794,MANSTON LANE - (Cross Gates and Whinmoor) - 23007994,Cross Gates and Whinmoor,Pothole Cwy,24/03/2025,27/03/2025,71.11,437104.7501,434768.3716
HWO2509793,LONG MEADOWS - (Adel and Wharfedale) - 23022293,Adel and Wharfedale,Pothole Cwy,24/03/2025,28/03/2025,71.11,425431.5858,442682.5563
HWO2509792,AMBERTON ROAD - (Gipton and Harehills) - 23000309,Gipton and Harehills,Pothole Cwy,24/03/2025,25/03/2025,71.11,432823.791,435772.4319
HWO2509791,APPERLEY LANE - (Horsforth) - 23020715,Horsforth,Pothole Cwy,24/03/2025,31/03/2025,71.11,419957.3681,438978.1479
HWO2509790,DALE PARK CLOSE - (Adel and Wharfedale) - 23004122,Adel and Wharfedale,Pothole Cwy,24/03/2025,28/08/2025,71.11,424716.9038,439890.0559
HWO2509789,LUXOR AVENUE - (Gipton and Harehills) - 23007872,Gipton and Harehills,Pothole Cwy,24/03/2025,25/03/2025,71.11,432094.5106,435530.0072
HWO2509788,TINSHILL ROAD - (Weetwood) - 23012228,Weetwood,Pothole Cwy,24/03/2025,01/04/2025,142.22,425401.572,440391.1214
HWO2509787,FOXHILL COURT - (Weetwood) - 23005199,Weetwood,Pothole Carriageway,24/03/2025,09/04/2025,71.11,427379.5043,438210.1509
HWO2509786,EMBLETON ROAD - (Kippax and Methley) - 23023237,Kippax and Methley,Pothole Cwy,24/03/2025,28/03/2025,71.11,439285.8151,426091.6811
HWO2509785,HOLT CRESCENT - (Adel and Wharfedale) - 23006585,Adel and Wharfedale,Pothole Carriageway,24/03/2025,08/04/2025,71.11,426027.5179,440171.3237
HWO2509783,SPEN LANE - (Weetwood) - 23011197,Weetwood,Pothole Cwy,24/03/2025,01/04/2025,71.11,426192.6447,437490.6165
HWO2509784,CHURCH LANE - (Moortown ) - 23003303,Moortown,Pothole Cwy,24/03/2025,04/04/2025,71.11,428491.1797,437195.9199
HWO2509782,CARLTON LANE - (Guiseley and Rawdon) - 23020840,Guiseley and Rawdon,Pothole Cwy,24/03/2025,24/03/2025,71.11,420372.6599,443190.7524
HWO2509781,WOOD HILL CRESCENT - (Adel and Wharfedale) - 23013621,Adel and Wharfedale,Pothole Cwy,24/03/2025,03/06/2025,71.11,424465.5945,439295.3725
HWO2509780,COOKRIDGE LANE - (Adel and Wharfedale) - 23003629,Adel and Wharfedale,Pothole Cwy,24/03/2025,01/04/2025,71.11,425229.1474,441059.9892
HWO2509779,OLD HOLLINGS HILL - (Guiseley and Rawdon) - 23020994,Guiseley and Rawdon,Pothole Cwy,24/03/2025,27/03/2025,71.11,418552.4578,441301.3863
HWO2509777,HOLT PARK APPROACH - (Adel and Wharfedale) - 23006592,Adel and Wharfedale,Pothole Cwy,24/03/2025,26/03/2025,71.11,426408.2513,440231.1248
HWO2509776,BACK LANE - (Armley) - 23001116,Armley,Pothole Cwy,24/03/2025,26/03/2025,71.11,424916.36,434482.6169
HWO2509775,TONG ROAD - (Farnley and Wortley) - 23012242,Farnley and Wortley,Pothole Cwy,24/03/2025,24/03/2025,71.11,425220.5294,432958.392
HWO2509770,ARMLEY RIDGE ROAD - (Armley) - 23000422,Armley,Pothole Cwy,24/03/2025,29/07/2025,71.11,426264.9557,434008.4455
HWO2509768,WELLINGTON ROAD - (Armley) - 23013152,Armley,Pothole Cwy,24/03/2025,25/03/2025,71.11,429000.4543,433564.2913
HWO2509767,MILLSHAW - (Beeston and Holbeck) - 23008308,Beeston and Holbeck ,Pothole Cwy,24/03/2025,25/03/2025,71.11,427844.5748,430046.8666
HWO2509766,WOODSLEY ROAD - (Little London and Woodhouse) - 23013730,Little London and Woodhouse,Pothole Cwy,24/03/2025,27/03/2025,71.11,428398.1837,434390.3937
HWO2509765,WHITEHALL ROAD - (Farnley and Wortley) - 23013435,Farnley and Wortley,Pothole Cwy,24/03/2025,24/03/2025,71.11,426244.0799,431661.1456
HWO2509759,WOODSLEY ROAD -  (Little London Woodhouse) - 23013730-001,Little London and Woodhouse,Pothole Cwy,21/03/2025,27/03/2025,71.11,428444.9,434415.42
HWO2509758,WOODSLEY ROAD -  (Little London Woodhouse) - 23013730-001,Little London and Woodhouse,Pothole Cwy,21/03/2025,24/03/2025,71.11,428410.37,434386.44
HWO2509752,SUMMERFIELD DRIVE -  (Bramley and Stanningley) - 23011766-001,Bramley and Stanningley,Pothole Cwy,21/03/2025,02/04/2025,71.11,,
HWO2509751,SUMMERFIELD DRIVE -  (Bramley and Stanningley) - 23011766-001,Bramley and Stanningley,Pothole Cwy,21/03/2025,02/04/2025,71.11,423254.583,435480.973
HWO2509750,SUMMERFIELD DRIVE -  (Bramley and Stanningley) - 23011766-001,Bramley and Stanningley,Pothole Cwy,21/03/2025,,71.11,,
HWO2509740,CARDIGAN FIELDS ROAD -  (Kirkstall) - 23030220-001,Kirkstall,Pothole Cwy,21/03/2025,27/03/2025,71.11,427665,434438.43
HWO2509739,CARDIGAN FIELDS ROAD -  (Kirkstall) - 23030220-001,Kirkstall,Pothole Cwy,21/03/2025,27/03/2025,71.11,427686.18,434454.57
HWO2509705,PONTEFRACT AVENUE -  (Burmantofts Richmond Hill) - 23009694-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,25/03/2025,71.11,431784.98,433134.27
HWO2509694,PONTEFRACT AVENUE -  (Burmantofts Richmond Hill) - 23009694-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,25/03/2025,71.11,431796.12,433135.37
HWO2509693,PONTEFRACT AVENUE -  (Burmantofts Richmond Hill) - 23009694-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,25/03/2025,71.11,431793.96,433131.17
HWO2509692,KITSON STREET -  (Burmantofts Richmond Hill) - 23007172-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,25/03/2025,71.11,431794.04,433122.52
HWO2509689,KITSON STREET -  (Burmantofts Richmond Hill) - 23007172-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,25/03/2025,71.11,431642.51,433009.53
HWO2509688,KITSON STREET -  (Burmantofts Richmond Hill) - 23007172-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,25/03/2025,71.11,431717.24,433064.87
HWO2509687,KITSON STREET -  (Burmantofts Richmond Hill) - 23007172-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,07/05/2025,71.11,431762.66,433101.3
HWO2509685,BACK KITSON STREET -  (Burmantofts Richmond Hill) - 23001103-002,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,25/03/2025,71.11,431812.59,433111.84
HWO2509677,CLARK MOUNT -  (Burmantofts Richmond Hill) - 23003382-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,07/05/2025,71.11,431842.49,433055.22
HWO2509675,CLARK CRESCENT -  (Burmantofts Richmond Hill) - 23003379-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,07/05/2025,71.11,431870,433026.07
HWO2509674,CLARK CRESCENT -  (Burmantofts Richmond Hill) - 23003379-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,07/05/2025,71.11,431867.84,433023.28
HWO2509668,FREDERICK AVENUE -  (Burmantofts Richmond Hill) - 23005219-001,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,07/05/2025,71.11,432159.13,432927.21
HWO2509662,FAIRFIELD AVENUE - (Bramley and Stanningley) - 23004841,Bramley and Stanningley,Pothole Cwy,21/03/2025,25/03/2025,71.11,423284.2727,434801.9545
HWO2509658,CARLTON LANE - (Otley and Yeadon) - 23023898,Otley and Yeadon,Pothole Cwy,21/03/2025,21/03/2025,71.11,420464.9288,443181.6568
HWO2509656,WEST PARADE - (Guiseley and Rawdon) - 23020893,Guiseley and Rawdon,Pothole Cwy,21/03/2025,26/03/2025,71.11,419297.3271,442325.3969
HWO2509655,POOL BANK NEW ROAD - (Adel and Wharfedale) - 23022353,Adel and Wharfedale,Pothole Cwy,21/03/2025,21/03/2025,71.11,424725.2874,444393.7007
HWO2509654,VALLEY ROAD - (Pudsey) - 23020432,Pudsey,Pothole Cwy,21/03/2025,25/03/2025,71.11,422720.9327,432681.4078
HWO2509652,WOOD HILL CRESCENT - (Adel and Wharfedale) - 23013621,Adel and Wharfedale,Pothole Carriageway,21/03/2025,08/04/2025,71.11,424461.3261,439289.6706
HWO2509651,CARLTON LANE - (Otley and Yeadon) - 23023898,Otley and Yeadon,Pothole Cwy,21/03/2025,21/03/2025,71.11,420427.9525,443182.501
HWO2509649,GLEN ROAD - (Weetwood) - 23005485,Weetwood,Pothole Cwy,21/03/2025,25/06/2025,71.11,427319.3074,437197.778
HWO2509647,PONTEFRACT LANE - (Burmantofts Richmond Hill) - 23009696,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,07/07/2025,71.11,433512.7704,432120.0878
HWO2509646,ROOMS LANE - (Morley North) - 23022671,Morley North,Pothole Cwy,21/03/2025,26/03/2025,71.11,426339.8537,428642.5297
HWO2509645,VALLEY ROAD - (Pudsey) - 23020432,Pudsey,Pothole Cwy,21/03/2025,,71.11,422655,432655
HWO2509644,OLD HOLLINGS HILL - (Guiseley and Rawdon) - 23020994,Guiseley and Rawdon,Pothole Cwy,21/03/2025,21/03/2025,71.11,418552.7621,441302.4763
HWO2509640,FORGE LANE - (Harewood) - 23021961,Harewood,Pothole Cwy,21/03/2025,24/03/2025,71.11,433597.5248,442408.1013
HWO2509639,TONG ROAD - (Farnley and Wortley) - 23012242,Farnley and Wortley,Pothole Cwy,21/03/2025,25/03/2025,71.11,424103.062,431992.6897
HWO2509638,DRIGHLINGTON BYPASS - (Morley North) - 23026021,Morley North,Pothole Cwy,21/03/2025,25/03/2025,0,422525.9523,427885.7097
HWO2509637,NEVILLE STREET - (Hunslet and Riverside) - 23008715,Hunslet and Riverside,Pothole Cwy,21/03/2025,21/03/2025,0,429967.1445,433261.6247
HWO2509635,DRIGHLINGTON BYPASS - (Morley North) - 23026021,Morley North,Pothole Cwy,21/03/2025,,71.11,422525.3131,427879.5398
HWO2509633,PONTEFRACT LANE - (Burmantofts Richmond Hill) - 23009696,Burmantofts and Richmond Hill,Pothole Cwy,21/03/2025,07/07/2025,71.11,433487.1515,432137.2637
HWO2509632,CHATSWORTH FALL - (Calverley and Farsley) - 23020557,Calverley and Farsley,Pothole Cwy,21/03/2025,25/03/2025,71.11,420292.7746,433677.6839
HWO2509630,WHITECOTE LANE - (Bramley and Stanningley) - 23013428,Bramley and Stanningley,Pothole Cwy,21/03/2025,25/03/2025,71.11,423987.5595,435830.4286
HWO2509629,SELBY ROAD - (Garforth and Swillington) - 23024027,Garforth and Swillington,Pothole Cwy,21/03/2025,23/04/2025,71.11,437653.9222,433139.8581
HWO2509628,PARK LANE - (Little London Woodhouse) - 23009348,Little London and Woodhouse,Pothole Cwy,21/03/2025,25/03/2025,0,429348.7012,433781.5863
HWO2509627,BRADFORD ROAD - (Calverley and Farsley) - 23020242,Calverley and Farsley,Pothole Cwy,21/03/2025,25/03/2025,0,419966.7927,434110.6488
HWO2509625,SWINNOW ROAD - (Pudsey) - 23011865,Pudsey,Pothole Cwy,21/03/2025,26/03/2025,71.11,423074.2143,433764.5619
HWO2509624,WELLINGTON ROAD - (Armley) - 23013152,Armley,Pothole Cwy,21/03/2025,25/03/2025,0,429004.1614,433558.7911
HWO2509617,BECKHILL APPROACH - (Chapel Allerton) - 23001855,Chapel Allerton,Pothole Cwy,20/03/2025,21/03/2025,71.11,429192.0718,436842.2161
HWO2509616,SANDRINGHAM ROAD - (Wetherby) - 23022086,Wetherby,Pothole Cwy,20/03/2025,24/03/2025,71.11,440262.3223,448563.0131
HWO2509615,KIDDAL LANE - (Harewood) - 23021588,Harewood,Pothole Cwy,20/03/2025,21/03/2025,71.11,440027.0578,439413.9075
HWO2509614,RIDGE ROAD - (Kippax and Methley) - 23021665,Kippax and Methley,Pothole Cwy,20/03/2025,16/09/2025,71.11,443146,433180
HWO2509611,RIDGE ROAD - (Kippax and Methley) - 23021665,Kippax and Methley,Pothole Cwy,20/03/2025,02/07/2025,71.11,443111.4157,433376.824
HWO2509610,CHAPEL LANE -  (Harewood) - 23021573-001,Harewood,Pothole Cwy,20/03/2025,24/03/2025,71.11,440137.07,437264.33
HWO2509609,CHAPEL LANE -  (Harewood) - 23021573-001,Harewood,Pothole Cwy,20/03/2025,24/03/2025,71.11,440123.16,437231.12
HWO2509608,SCHOOL LANE -  (Harewood) - 23024054-001,Harewood,Pothole Cwy,20/03/2025,24/03/2025,71.11,438987.53,445952.61
HWO2509607,SCHOOL LANE -  (Harewood) - 23024054-001,Harewood,Pothole Cwy,20/03/2025,24/03/2025,71.11,439031.0009,445964.2064
HWO2509606,SANDRINGHAM APPROACH -  (Alwoodley) - 23010687-001,Alwoodley,Pothole Cwy,20/03/2025,21/03/2025,71.11,431214.36,439397.41
HWO2509603,WELLINGTON ROAD -  (Little London Woodhouse) - A-0058-030,Little London and Woodhouse,Pothole Cwy,20/03/2025,25/03/2025,0,428797.1191,433272.7935
HWO2509600,INNER RING ROAD -  (Little London Woodhouse) - M-0058-004,Little London and Woodhouse,Pothole Cwy,20/03/2025,21/03/2025,0,429314.869,433700.5667
HWO2509599,INNER RING ROAD -  (Little London Woodhouse) - 23006825-003,Little London and Woodhouse,Pothole Cwy,20/03/2025,21/03/2025,0,429402.6108,433887.7869
HWO2509595,INNER RING ROAD -  (Little London Woodhouse) - M-0058-012,Little London and Woodhouse,Pothole Cwy,20/03/2025,21/03/2025,0,430056.8318,434397.7536
HWO2509591,LYDIA STREET -  (Little London Woodhouse) - 23007878-001,Little London and Woodhouse,Pothole Cwy,20/03/2025,24/03/2025,71.11,430611.505,433751.02
HWO2509577,EIGHTLANDS LANE - (Bramley and Stanningley) - 23004616,Bramley and Stanningley,Pothole Cwy,20/03/2025,25/03/2025,71.11,424975.3846,434553.9231
HWO2509576,EIGHTLANDS LANE - (Bramley and Stanningley) - 23004616,Bramley and Stanningley,Pothole Cwy,20/03/2025,25/03/2025,71.11,424975.3846,434553.9231
HWO2509575,EIGHTLANDS LANE - (Bramley and Stanningley) - 23004616,Bramley and Stanningley,Pothole Cwy,20/03/2025,25/03/2025,71.11,424975.3846,434553.9231
HWO2509573,EIGHTLANDS LANE - (Bramley and Stanningley) - 23004616,Bramley and Stanningley,Pothole Cwy,20/03/2025,25/03/2025,71.11,424975.3846,434553.9231
HWO2509571,EIGHTLANDS LANE - (Bramley and Stanningley) - 23004616,Bramley and Stanningley,Pothole Cwy,20/03/2025,25/03/2025,71.11,424975.3846,434553.9231
HWO2509553,SOUTH ACCOMMODATION ROAD -  (Burmantofts Richmond Hill) - A-0061-040,Burmantofts and Richmond Hill,Pothole Cwy,20/03/2025,,71.11,431464.34,432447.31
HWO2509552,OAKLEY VIEW - (Hunslet and Riverside) - 23009078,Hunslet and Riverside,Pothole Cwy,20/03/2025,24/03/2025,71.11,430011.36,430939.98
HWO2509550,SOUTH ACCOMMODATION ROAD -  (Burmantofts Richmond Hill) - A-0061-035,Burmantofts and Richmond Hill,Pothole Cwy,20/03/2025,,71.11,431398.06,432384.12
HWO2509546,ABERFORD ROAD -  (Garforth and Swillington) - A-0642-042,Garforth and Swillington,Pothole Cwy,20/03/2025,13/06/2025,71.11,440403.07,433554.77
HWO2509543,CHURCH STREET -  (Hunslet and Riverside) - 23003315-003,Hunslet and Riverside,Pothole Cwy,20/03/2025,21/03/2025,0,431090.84,431380.3
HWO2509538,DEWSBURY ROAD -  (Hunslet and Riverside) - A-0653-032,Hunslet and Riverside,Pothole Cwy,20/03/2025,21/03/2025,0,430096.93,431274.11
HWO2509531,SAYNER LANE -  (Hunslet and Riverside) - 23010724-002,Hunslet and Riverside,Pothole Cwy,20/03/2025,26/03/2025,71.11,430908.34,432516.53
HWO2509529,BROOMHILL CRESCENT -  (Moortown ) - 23002606-001,Moortown,Pothole Cwy,20/03/2025,21/03/2025,71.11,430712.0886,438579.8711
HWO2509526,HARROGATE ROAD -  (Moortown ) - 23006092-008,Moortown,Pothole Cwy,20/03/2025,04/04/2025,71.11,430747.45,438379.4
HWO2509524,OAKLEY VIEW -  (Hunslet and Riverside) - 23009078-001,Hunslet and Riverside,Pothole Cwy,20/03/2025,24/03/2025,71.11,430014.16,430938.21
HWO2509520,CLARENCE ROAD -  (Hunslet and Riverside) - 23003368-001,Hunslet and Riverside,Pothole Cwy,20/03/2025,27/03/2025,71.11,431220.81,432413.89
HWO2509518,SOUTH ACCOMMODATION ROAD -  (Hunslet and Riverside) - A-0061-190,Hunslet and Riverside,Pothole Cwy,20/03/2025,,71.11,431203.07,432327.85
HWO2509517,YORK ROAD - (Killingbeck and Seacroft) - 23013846,Killingbeck and Seacroft,Pothole Cwy,20/03/2025,12/05/2025,71.11,434699.7999,434555.967
HWO2509512,OAK TREE CRESCENT - (Gipton and Harehills) - 23009051,Gipton and Harehills,Pothole Cwy,20/03/2025,23/06/2025,71.11,433244.3906,435019.0313
HWO2509509,THORN VIEW - (Gipton and Harehills) - 23012135,Gipton and Harehills,Pothole Cwy,20/03/2025,23/06/2025,71.11,432999.9158,435302.6414
HWO2509508,GLEDHOW LANE - (Roundhay) - 23005461,Roundhay,Pothole Cwy,20/03/2025,03/04/2025,71.11,431512.396,437125.5481
HWO2509505,WAKEFIELD ROAD - (Garforth and Swillington) - 23021552,Garforth and Swillington,Pothole Cwy,20/03/2025,13/06/2025,71.11,440393.619,433551.1101
HWO2509503,LUXOR AVENUE - (Gipton and Harehills) - 23007872,Gipton and Harehills,Pothole Cwy,20/03/2025,08/07/2025,71.11,432086.54,435532.5544
HWO2509500,STREET LANE - (Moortown ) - 23011738,Moortown,Pothole Cwy,20/03/2025,24/03/2025,71.11,432337,438788
HWO2509498,LAMBTON STREET - (Gipton and Harehills) - 23007240,Gipton and Harehills,Pothole Cwy,20/03/2025,07/07/2025,71.11,431849.5489,435520.6871
HWO2509496,BENTCLIFFE LANE - (Moortown ) - 23002032,Moortown,Pothole Cwy,20/03/2025,24/03/2025,71.11,430897.8321,438605.5516
HWO2509495,SOUTH ACCOMMODATION ROAD - (Hunslet and Riverside) - 23011098,Hunslet and Riverside,Pothole Cwy,20/03/2025,,71.11,431268.1555,432351.9147
HWO2509493,STAINBECK LANE - (Moortown ) - 23011503,Moortown,Pothole Cwy,20/03/2025,21/03/2025,71.11,429039.2701,437502.4494
HWO2509489,PONTEFRACT LANE - (Burmantofts Richmond Hill) - 23009696,Burmantofts and Richmond Hill,Pothole Cwy,20/03/2025,21/05/2025,71.11,433002.6327,432350.7892
HWO2509485,RIDGE ROAD - (Kippax and Methley) - 23021665,Kippax and Methley,Pothole Cwy,20/03/2025,07/07/2025,71.11,443077.9673,433496.0518
HWO2509484,SCOTT HALL ROAD - (Chapel Allerton) - 23010775,Chapel Allerton,Pothole Cwy,20/03/2025,24/03/2025,71.11,429916.1564,437021.8255
HWO2509482,STAIRFOOT LANE - (Alwoodley) - 23011530,Alwoodley,Pothole Cwy,20/03/2025,21/03/2025,71.11,428538.7265,440637.0609
HWO2509481,PONTEFRACT ROAD - (Hunslet and Riverside) - 23023197,Hunslet and Riverside,Pothole Cwy,20/03/2025,20/03/2025,0,432227.0859,430960.2561
HWO2509480,TINGLEY COMMON - (Morley South) - 23022822,Morley South,Pothole Cwy,20/03/2025,20/03/2025,0,427296.5065,426375.6516
HWO2509479,PARKWOOD ROAD - (Beeston and Holbeck) - 23009409,Beeston and Holbeck ,Pothole Cwy,20/03/2025,27/03/2025,71.11,428876.3069,429646.7025
HWO2509478,RING ROAD BEESTON - (Beeston and Holbeck) - 23010281,Beeston and Holbeck ,Pothole Cwy,20/03/2025,20/03/2025,0,427622.1418,431153.886
HWO2509476,HAREHILLS LANE - (Gipton and Harehills) - 23006019,Gipton and Harehills,Pothole Cwy,20/03/2025,15/05/2025,71.11,431960.9244,435832.8037
HWO2509475,KINGSWOOD CRESCENT - (Moortown ) - 23007112,Moortown,Pothole Cwy,20/03/2025,21/03/2025,71.11,431734.0592,439084.3115
HWO2509474,SELBY ROAD - (Garforth and Swillington) - 23024027,Garforth and Swillington,Pothole Cwy,20/03/2025,27/06/2025,71.11,437588.7628,433198.0014
HWO2509473,AMBERTON ROAD - (Gipton and Harehills) - 23000309,Gipton and Harehills,Pothole Cwy,20/03/2025,23/06/2025,71.11,432730.8968,435817.8249
HWO2509472,ALL SAINTS ROAD - (Rothwell) - 23023342,Rothwell,Pothole Cwy,20/03/2025,26/03/2025,71.11,436751.5749,428826.1627
HWO2509471,COMPTON ROAD - (Gipton and Harehills) - 23003586,Gipton and Harehills,Pothole Cwy,20/03/2025,26/03/2025,71.11,432183.2173,434624.8219
HWO2509470,LANDSEER GREEN - (Bramley and Stanningley) - 23007252,Bramley and Stanningley,Pothole Cwy,20/03/2025,25/03/2025,71.11,424797.8595,435203.903
HWO2509468,VALLEY ROAD - (Pudsey) - 23020432,Pudsey,Pothole Cwy,20/03/2025,25/03/2025,71.11,422695.3565,432679.1087
HWO2509467,MAIN STREET - (Garforth and Swillington) - 23021440,Garforth and Swillington,Pothole Cwy,20/03/2025,07/04/2025,71.11,440390.5521,433240.3611
HWO2509466,WOODHALL ROAD - (Calverley and Farsley) - 23020053,Calverley and Farsley,Pothole Cwy,20/03/2025,20/03/2025,0,420014.1314,435590.8289
HWO2509462,APPERLEY LANE - (Horsforth) - 23020715,Horsforth,Pothole Cwy,20/03/2025,20/03/2025,71.11,420269.4462,439636.4371
HWO2509461,SOUTH ACCOMMODATION ROAD -  (Hunslet and Riverside) - A-0061-192,Hunslet and Riverside,Pothole Cwy,20/03/2025,,71.11,431224.22,432327.24
HWO2509460,SCOTLAND LANE - (Otley and Yeadon) - 23021242,Otley and Yeadon,Pothole Cwy,20/03/2025,20/03/2025,71.11,423358.0428,441413.7519
HWO2509455,ALBION STREET - (Otley and Yeadon) - 23022237,Otley and Yeadon,Pothole Cwy,20/03/2025,03/04/2025,71.11,420718.7804,445169.4642
HWO2509454,MOORFIELD ROAD - (Otley and Yeadon) - 23024840,Otley and Yeadon,Pothole Carriageway,20/03/2025,10/04/2025,71.11,421524.6007,440959.6558
HWO2509453,ST GEORGES ROAD - (Middleton Park) - 23030785,Middleton Park,Pothole Cwy,20/03/2025,20/03/2025,0,431004.4802,428071.8255
HWO2509451,ROOMS LANE - (Morley North) - 23022671,Morley North,Pothole Cwy,20/03/2025,26/03/2025,71.11,426304.7734,428683.8045
HWO2509450,TONG ROAD - (Farnley and Wortley) - 23012242,Farnley and Wortley,Pothole Cwy,20/03/2025,20/03/2025,0,423847.375,431601.094
HWO2509449,ST MICHAELS ROAD - (Headingley and Hyde Park) - 23011456,Headingley and Hyde Park,Pothole Cwy,20/03/2025,20/03/2025,0,427701.6667,435959.5083
HWO2509431,HAREHILLS LANE -  (Gipton and Harehills) - B-6159-018,Gipton and Harehills,Pothole Cwy,19/03/2025,15/05/2025,71.11,431962.93,435840.91
HWO2509430,OLD PARK ROAD -  (Roundhay) - 23009172-004,Roundhay,Pothole Cwy,19/03/2025,25/03/2025,71.11,432497.86,437978.73
HWO2509429,SCOTT HALL ROAD -  (Moortown ) - A-0061-080,Moortown,Pothole Cwy,19/03/2025,24/03/2025,71.11,430107.82,437830.42
HWO2509428,SHEEPSCAR STREET SOUTH -  (Little London Woodhouse) - A-0061-134,Little London and Woodhouse,Pothole Cwy,19/03/2025,26/03/2025,0,430734.33,434759.97
HWO2509427,SCOTT HALL ROAD -  (Moortown ) - A-0061-120,Moortown,Pothole Cwy,19/03/2025,21/03/2025,71.11,430310.93,438478.46
HWO2509424,HIGH ASH DRIVE -  (Alwoodley) - 23021966-005,Alwoodley,Pothole Cwy,19/03/2025,21/03/2025,71.11,431308.43,440422.19
HWO2509422,HIGH ASH CRESCENT -  (Alwoodley) - 23021965-001,Alwoodley,Pothole Cwy,19/03/2025,24/03/2025,71.11,431396.87,440422.41
HWO2509421,HIGH ASH CRESCENT -  (Alwoodley) - 23021965-001,Alwoodley,Pothole Cwy,19/03/2025,24/03/2025,71.11,431421.99,440469.74
HWO2509420,HIGH ASH CRESCENT -  (Alwoodley) - 23021965-001,Alwoodley,Pothole Cwy,19/03/2025,24/03/2025,71.11,431414.95,440457.1
HWO2509419,MEADOW LANE -  (Hunslet and Riverside) - A-0653-080,Hunslet and Riverside,Pothole Cwy,19/03/2025,20/03/2025,0,430103.7818,432754.2553
HWO2509410,SISSONS DRIVE -  (Middleton Park) - 23011002-001,Middleton Park,Pothole Cwy,19/03/2025,24/03/2025,71.11,429706.77,427673.21
HWO2509409,SISSONS DRIVE -  (Middleton Park) - 23011002-001,Middleton Park,Pothole Cwy,19/03/2025,24/03/2025,71.11,429707.78,427652.32
HWO2509407,SISSONS STREET -  (Middleton Park) - 23011010-001,Middleton Park,Pothole Cwy,19/03/2025,24/03/2025,71.11,429839.56,427707.52
HWO2509394,KING LANE -  (Alwoodley) - C-333-006,Alwoodley,Pothole Cwy,19/03/2025,02/04/2025,71.11,429362.31,439552.19
HWO2509390,TOWN STREET -  (Armley) - 23012290-002,Armley,Pothole Cwy,19/03/2025,20/03/2025,71.11,426912.96,433423.98
HWO2509379,EAST STREET -  (Hunslet and Riverside) - 23004498-003,Hunslet and Riverside,Pothole Cwy,19/03/2025,20/03/2025,0,430793.03,433292.17
HWO2509372,EASTGATE -  (Little London Woodhouse) - 23004530-001,Little London and Woodhouse,Pothole Cwy,19/03/2025,24/03/2025,71.11,430484.93,433701.92
HWO2509365,EASTGATE -  (Little London Woodhouse) - A-0061-054,Little London and Woodhouse,Pothole Cwy,19/03/2025,20/03/2025,0,430687.62,433687.01
HWO2509362,BENSON STREET -  (Little London and Woodhouse) - 23002025-002,Little London and Woodhouse,Pothole Cwy,19/03/2025,27/03/2025,71.11,430789.97,434510.36
HWO2509359,STANNINGLEY ROAD -  (Armley) - A-0647-068,Armley,Pothole Cwy,19/03/2025,20/03/2025,0,426491.2929,433946.0529
HWO2509358,STANNINGLEY BYPASS -  (Farnley and Wortley) - A-0647-018,Farnley and Wortley,Pothole Cwy,19/03/2025,20/03/2025,0,424530.7667,433995.923
HWO2509357,STANNINGLEY BYPASS -  (Calverley and Farsley) - 23014181-001,Calverley and Farsley,Pothole Cwy,19/03/2025,20/03/2025,0,421017.4658,434350.0042
HWO2509356,STANNINGLEY BYPASS -  (Pudsey) - 23014181-009,Pudsey,Pothole Cwy,19/03/2025,20/03/2025,0,422385.5117,434002.6594
HWO2509355,STANNINGLEY BYPASS -  (Pudsey) - 23014181-018,Pudsey,Pothole Cwy,19/03/2025,20/03/2025,0,423717.381,434319.5929
