Stop_No,Location,X,Y,Platetype,Adshelnum,Plate_loca,Casetype,Schemestop,Lighting,Nexusplate,District,Status,Shelter_Ty
5952,"FARRINGDON RD,MARDEN",435664,571020,O4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
5953,"GRAND PARADE,LONG SANDS",436569,570473,C3, ,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ARUN
5954,Beach Road E/b,435559,570087, , ,Stainless Steel,Normal, , , ,North Tyneside,OPERATING,NONE
5955,Beach Road W/b,435638,570085, , ,Stainless steel,Normal, , , ,North Tyneside,OPERATING,NONE
5956,"Beach Road, W/b",436109,570178, , ,Stainless Steel,Normal, , , ,North Tyneside,OPERATING,NONE
05W01,PARK AVENUE,435461,572213,O1,0503/0039,Stainless Steel,Normal, ,At Stop,New,North Tyneside,OPERATING,SHELTER REMOVED
05W02,"PARK AVE,WHITLEY BAY",435459,572157,C4,0503/0076,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ADSHEL
05W03,"WHITLEY ROAD, WHITLEY BAY",435535,572096,C5,0503/0284,BRACKET,LARGE, ,AT STOP,Yes,North Tyneside,OPERATING,ADSHEL
05W04,WHITLEY BAY TOWN CENTRE,435614,572150,C3, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,ARUN
05W05,WHITLEY BAY TOWN CENTRE,435552,572111,C2,0503/0124,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
05W06,WHITLEY BAY TOWN CENTRE,435520,572093,C4,0503/0101,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
05W07,"PARK AVE,WHITLEY BAY",435389,572358,C6, ,METAL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
05W08,WHITLEY ROAD,435839,572016,C3,0503/0067,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
05W09,"WHITLEY RD,WHITLEY BAY",435793,572030,C3,0503/0123,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
05W10,WHITLEY BAY TOWN CENTRE,435463,572130,C2,0503/0095,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
05W11,WHITLEY BAY METRO,435673,571884,C2, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
05W12,"ESPLANADE,WHITLEY BAY",435771,572111,C3, ,Removed,None, ,At Stop,No,North Tyneside,OPERATING,NONE
05W13,"ESPLANADE,WHITLEY BAY",435851,572281,C3, ,Stainless Steel,Normal, ,At Stop,Yes,North Tyneside,OPERATING,NONE
05W14,WHITLEY BAY - PARK AVENUE,435501,572566,C6,0503/0053,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
05W15,"THE PROMENADE,W/BAY-STOP DOES NOT EXIST",435823,572351,C3, ,Removed,None, ,Unknow,No,North Tyneside,OPERATING,NONE
05W16,"THE PROMENADE,W/BAY",435836,572364,C3, ,Removed,None, ,At Stop,No,North Tyneside,OPERATING,NONE
05W17,WHITLEY BAY SEAFRONT,435225,572861,C2,0503/0050,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
05W18,"THE LINKS,W/BAY-STOP SUSPENDED-NO SERVICES",435226,572909,C3, ,Removed,None, ,Nearby,No,North Tyneside,OPERATING,BRICK
05W19,"THE LINKS,WHITLEY BAY-SUSPENDED-NO SERVICES",435240,572878,C3, ,Removed,None, ,Nearby,No,North Tyneside,OPERATING,BRICK
05W20,WHITLEY BAY - BANDSTAND,435259,572831,C3,0503/0118,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
05W21,"PARK RD,WHITLEY BAY",435283,572600,C6, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
8876,Balliol Buisness Park Entrance,426523,569567, , ,Stainless Steel,Normal, , , ,North Tyneside,OPERATING,NONE
9012,"SHIELDS RD,OAKTREE AVENUE",429120,566135,X1,0502/0364,BRACKET,LARGE, ,UNKOWN,Yes,North Tyneside,OPERATING,ADSHEL
9013,HIGH STREET WEST THE AVENUE,429513,566260,C4, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
9016,HIGH STREET WEST LILAC ROAD,429426,566219,X4,0503/0098,BRACKET,LARGE, ,AT STOP,Yes,North Tyneside,OPERATING,ADSHEL
9018,SHIELDS ROAD,428942,565958,X2,0502/0258,BRACKET,LARGE, ,UNKOWN,Yes,North Tyneside,OPERATING,ADSHEL
9040,COAST ROAD STATION ROAD,429090,567299,C5, ,BRACKET,LARGE, ,BENCH SHELTER,New,North Tyneside,OPERATING,TIMELINE
9041,COAST ROAD MULCASTER GARDENS,429384,567416,C3, ,BRACKET,LARGE, ,POWERED,Yes,North Tyneside,OPERATING,TIMELINE
9042,COAST ROAD HIGH FARM,429676,567514,C3, ,BRACKET,LARGE, ,POWERED,Yes,North Tyneside,OPERATING,TIMELINE
9043,COAST ROAD HIGH FARM,429690,567468,C4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
9044,COAST ROAD STATION ROAD,429389,567353,C4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
9045,COAST ROAD DEVONSHIRE GARDENS,429127,567249,C5,0503/0094,BRACKET,LARGE, ,AT STOP,Yes,North Tyneside,OPERATING,ADSHEL
9064,"FRONT ST,L/BENTON",427137,568413, , , , , ,NEARBY, ,North Tyneside,DECOMMISSIONED,SHELTER REMOVED
9065,"FRONT ST,BENTON",427276,568466,X3, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
