Stop_No,Location,X,Y,Platetype,Adshelnum,Plate_loca,Casetype,Schemestop,Lighting,Nexusplate,District,Status,Shelter_Ty
15614,SCROGG RD WALKER,428792,564203,O4, ,STAINLESS STEEL,NONE, ,AT STOP,New,Newcastle,OPERATING,NONE
15615,SCROGG RD WALKER,428772,564228,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
15616,"WHARRIER ST,WALKER",428916,563969,O4, ,METAL,NONE, ,NEARBY,New,Newcastle,OPERATING,NONE
15617,"SCROGG RD,WALKER",428862,563992,O4,0502/0674,METAL,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
15618,WHARRIER ST WALKER,429282,564068,X3, ,STAINLESS STEEL,NONE, ,NEARBY,New,Newcastle,OPERATING,NONE
15619,WHARRIER ST WALKER,429263,564045,O4, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,Newcastle,OPERATING,SHELTER REMOVED
15620,WESTBOURNE AVE WALKER,429005,564799,O4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
15621,WESTBOURNE AVE WALKER,429010,564751,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
15622,CHURCH WALK SHOPS,429248,564556,O1,0502/1062,METAL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,INSIGNIA
15623,TITAN ROAD WALKER,429301,564455,O1,0502/1063,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
15624,"RHODES ST,N/CASTLE",429433,564199,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
15625,TITAN RD WALKER,429338,564256,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
15626,RHODES ST WALKER,429431,564180,C3,0502/0373,BRACKET,LARGE, ,NEARBY,New,Newcastle,OUTSER,ADSHEL
15627,WALKER BUS TERMINAL,429406,564184,C1,0502/0373,STAINLESS STEEL,LARGE, ,AT STOP,New,Newcastle,OPERATING,NONE
15628,RHODES ST WALKER (TERM),429417,564170,C2, ,Stainless Steel,None, ,At Stop,New,Newcastle,OPERATING,NONE
15630,WAVERDALE AVENUE LOW WALKER,429478,564913,O1,0502/1064,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
15631,"SIMPSON TCE,SHIELDFIELD",425550,564645,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
15632,"SIMPSON TCE,S/FIELD",425553,564638,O4, ,METAL,NORMAL, ,NONE,Yes,Newcastle,OPERATING,NONE
15633,"SHIELD ST,SHIELDFIELD",425586,564800,O4, ,METAL,NORMAL, ,NEARBY,Yes,Newcastle,OPERATING,NONE
15634,"SHIELD ST,SHIELDFIELD",425593,564853,X4,0502/0950,BRACKET,NORMAL, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15635,"SHIELD ST,SHIELDFIELD",425621,564990,O4, ,STAINLESS STEEL,NORMAL, ,UNKOWN,Yes,Newcastle,OPERATING,NONE
15636,STODDART ST SHIELDFIELD,425804,564792,O4,0502/0482,Bracket,Large, ,Unknow,Yes,Newcastle,OPERATING,ADSHEL
15637,"STODDART ST,SHIELDFIELD",425780,564825,O4,0502/0353,Bracket,Large, ,Unknow,Yes,Newcastle,OPERATING,ADSHEL
15638,"CLARENCE ST,SHIELDFIELD",425738,564571,O4,0502/0483,Bracket,Large, ,At Stop,Yes,Newcastle,OPERATING,ADSHEL
15639,"CLARENCE ST,SHIELDFIELD",425722,564627,X4, ,Stainless Steel,None, ,At Stop,New,Newcastle,OPERATING,SHELTER REMOVED
15640,"SANDYFORD RD,SANDYFORD",425087,564975,C7, ,BRACKET,LARGE, ,UNKOWN,New,Newcastle,OPERATING,ADSHEL
15641,"CITY RD,MANORS",425326,564159,O4, ,METAL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
15642,"MELBOURNE ST,MANORS",425375,564221,O4,0502/0324,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
15650,BOLAM WAY BYKER,427108,563965,O4,0502/9284,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
15651,BOLAM WAY BYKER,427036,564137,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
15652,BOLAM WAY,427046,564138,O1,0502/0668,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15900,"WELBECK RD,BYKER VLG",427498,564396,C3, ,Stainless Steel,None, ,Nearby,New,Newcastle,OPERATING,NONE
15901,"WELBECK RD,BYKER VLG",427508,564385,C3, ,Stainless Steel,None, ,At Stop,New,Newcastle,OPERATING,NONE
15902,"ALLENDALE RD,BYKER",427648,564224,O4, ,Metal,None, ,At Stop,Yes,Newcastle,OPERATING,NONE
15903,"CHURCH WALK CENTRE,TERM",429158,564412,X3,0502/0645,BRACKET,LARGE, ,UNKOWN,New,Newcastle,OUTSER,ADSHEL
15904,RABY WAY BYKER N/B,427079,564586, , ,NONE,None, , ,New,Newcastle,OPERATING,NONE
15905,RABY WAY BYKER S/B,427095,564557, , ,NONE,None, , ,New,Newcastle,OPERATING,NONE
15906,RABY WAY BYKER N/BOUND,427152,564314, , ,NONE,None, , ,New,Newcastle,OPERATING,NONE
15907,RABY WAY BYKER S/B,427164,564301, , ,NONE,None, , ,New,Newcastle,OPERATING,NONE
15908,MONKCHESTER ROAD,428108,563949,O2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
15909,TITAN ROAD TA CENTRE,429338,564302,C4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
15910,ST ANTHONYS ROAD,428362,564222,C2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
15911,ST ANTHONYS ROAD,428393,564031,C2, ,STAINLESS STEEL,none, ,AT STOP,New,Newcastle,OUTSER,NONE
15978,"ST PETERS RD,BYKER VLG",427404,564292,X3, ,Missing,None, ,At Stop,New,Newcastle,OPERATING,NONE
15979,"ST PETERS RD,BYKER VLG",427413,564239,X3, ,Stainless Steel,None, ,At Stop,New,Newcastle,OPERATING,NONE
15981,WARNERS BROS CAR PARK,425461,564706,O4, ,Metal,None, ,Unknow,Yes,Newcastle,OPERATING,NONE
15982,"SANDGATE, E QUAYSIDE",425742,564145,X3, ,STAINLESS STEEL,NORMAL,Qlink,UNKOWN,Yes,Newcastle,OPERATING,NONE
15983,"SANDGATE,E QUAYSIDE",425746,564138,X3, ,STAINLESS STEEL,NORMAL,Qlink,UNKOWN,New,Newcastle,OPERATING,NONE
15989,STODDART STREET SHIELDFIELD SOUTHBOUND,425836,564707,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
15995,ST PETERS BASIN,427217,563552,O1, ,STAINLESS STEEL,TWIN,Qlink,AT STOP,New,Newcastle,OPERATING,NONE
15996,LIME STREET-S/B,426203,564586,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
15997,SAINT LAWRENCE ROAD,427208,563671,O1, ,Stainless Steel,Twin, , ,New,Newcastle,OPERATING,NONE
15998,"Walker Road, St Peters E/b",427097,563900, , ,Stainless Steet,Normal, , , ,Newcastle,OPERATING,NONE
15B01,SHIELDS ROAD BYKER,426664,564742,C5,0502/0204,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B02,"SHIELDS RD,BYKER",426896,564803,C3,0502/0150,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B03,"SHIELDS RD,BYKER",426917,564808,C4,0502/0661,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B04,"SHIELDS RD,BYKER",427135,564863,C3,0502/0390,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B05,"SHIELDS RD,BYKER",427175,564873,C3,0502/0136,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B06,"SHIELDS RD,BYKER",427158,564855,C4,0502/0205,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B07,"SHIELDS RD,BYKER",427119,564845,C4,0502/0655,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B08,"SHIELDS RD,BYKER",426821,564772,C4,0502/0660,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B09,"SHIELDS RD,BYKER",426797,564766,C3,0502/0656,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B10,SHIELDS ROAD BYKER BANK,426582,564708,C5, ,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B11,"HEATON RD,BYKER",427025,564875,C3,0502/0110,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
15B12,"HEATON RD,BYKER",427030,564893,C4,0502/0037,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B14,BRINKBURN STREET,426867,564751,C2,0502/1084,METAL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
15B15,"BRINKBURN ST,BYKER",426932,564700,C4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
15B16,BRINKBURN STREET,426920,564689,C2, ,stainless steel,NONE, ,NEARBY,New,Newcastle,OPERATING,NONE
15B17,CONYERS ROAD,426854,564622,C2,0502/1083,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15B18,CONYERS ROAD,426861,564616,C2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
15B19,CONYERS RD BYKER,426966,564656,X2, ,NONE,NONE, ,UNKOWN,Yes,Newcastle,OPERATING,NONE
15B20,HEATON PARK ROAD,426696,564809,C1, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,Newcastle,OPERATING,NONE
15B21,HEATON PARK ROAD,426679,564841,C1, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
15B22,"BRINKBURN STREET, BYKER METRO",427038,564717,C1,0502/0649,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
15B23,"BRINKBURN STREET, BYKER METRO",427055,564721,C3,0502/0208,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
15B24,BYKER MORRISONS,426602,564728,C3, ,BRACKET, , ,AT STOP,New,Newcastle,OPERATING,ADSHEL
15Q04,QUAYSIDE GUILDHALL,425219,563885,X3, ,BRACKET,NONE,Qlink,AT STOP,New,Newcastle,OPERATING,SPECIAL
15Q05,QUAYSIDE LAW COURTS,425525,563956, , ,Bracket,Large, , , ,Newcastle,OPERATING,NONE
15Q06,THE SWIRLE,425794,564097, , ,NONE,None, , , ,Newcastle,OPERATING,NONE
15Q07,MARINERS WHARF,426010,564138,C3, ,NONE,NONE,Qlink,AT STOP, ,Newcastle,OPERATING,ADSHEL
15Q08,THE SWIRLE,425791,564092, , ,NONE,NONE,Qlink,AT STOP, ,Newcastle,OPERATING, 
15Q09,QUAYSIDE LAW COURTS,425516,563945, , ,BRACKET, ,Qlink,AT STOP, ,Newcastle,OPERATING,SPECIAL
15Q10,QUAYSIDE GUILDHALL,425201,563880, , ,BRACKET,NONE,Qlink,AT STOP, ,Newcastle,OPERATING,ADSHEL
15Q26,LIME STREET,426266,564331,C1, ,BRACKET,LARGE,Qlink,AT STOP,New,Newcastle,OPERATING,LANDMARK
15Q27,BALLAST HILLS,426486,564268,C1, ,STAINLESS STEEL, ,Qlink,AT STOP,New,Newcastle,OPERATING, 
15Q30,SPILLERS QUAY,426526,564094,O1, ,BRACKET, ,Qlink,AT STOP,New,Newcastle,OPERATING,LANDMARK
10801,"Simonside Avenue, Howdon W/b",431598,567536, , ,Stainless Steel, , , , ,Norh Tyneside,OPERATING,NONE
2001,"GT NORTH RD,BRUNTON PK",424249,570233,C7, ,STAINLESS STEEL,TWIN, ,UNKOWN,New,North Tyneside,OPERATING,NONE
2004,"GT NORTH RD,WIDEOPEN",424247,571861,C7,0503/0125,BRACKET,LARGE, ,UNKOWN,New,North Tyneside,OPERATING,ADSHEL
2005,"GT NORTH RD,WIDEOPEN",424251,572260,C5, ,BRACKET,LARGE, ,None,New,North Tyneside,OPERATING,ARUN
2006,GREAT NORTH ROAD WIDEOPEN,424106,572734,C7,0503/0129,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
2007,GREAT NORTH ROAD,423990,573168,C6, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
2008,GREAT NORTH ROAD,423976,573430,C5, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
2009,FRONT STREET,423904,573863,C4,0503/0130,BRACKET,LARGE, ,BENCH SHELTER,New,North Tyneside,OPERATING,ADSHEL
2010,FRONT STREET,423700,574228,C4, ,BRACKET,LARGE, ,UNKOWN,New,North Tyneside,OPERATING,ARUN
2012,"FRONT ST,SEATON BURN",423742,574191,C4,0503/0131,BRACKET,LARGE, ,BENCH SHELTER,New,North Tyneside,OPERATING,ADSHEL
2013,BRIDGE STREET SEATON BURN,423942,573733,C7, ,BRACKET,LARGE, ,None,New,North Tyneside,OPERATING,TIMELINE
2014,BRIDGE STREET,423984,573501,C6, ,BRACKET,LARGE, ,UNKOWN,New,North Tyneside,OPERATING,INSIGNIA
2015,GREAT NORTH ROAD,424038,572988,C6,0503/0132,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
2016,GREAT NORTH ROAD WIDEOPEN,424160,572613,C5,0503/0127,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
2017,GREAT NORTH ROAD,424241,572358,C7,0503/0126,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
2018,GREAT NORTH ROAD,424270,571894,C7,0503/0128,BRACKET,LARGE, ,UNKOWN,New,North Tyneside,OPERATING,ADSHEL
2036,COACH LANE HAZLERIGG,423551,571960,X4, ,BRACKET,LARGE, ,None,New,North Tyneside,OPERATING,ARUN
2037,COACH LANE HAZLERIGG,423932,571954,X4, ,STAINLESS STEEL,NORMAL, ,UNKOWN,New,North Tyneside,OPERATING,NONE
2038,STALKS ROAD WIDEOPEN,424108,572643,C2, ,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ARUN
2039,"STALKS RD,WIDEOPEN",423910,572681,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,North Tyneside,OPERATING,NONE
2056,"DARREL ST,BRUNSWICK GREEN",423486,572651,O2, ,BRACKET,LARGE, ,Solar,New,North Tyneside,OPERATING,ARUN
2057,"STALKS RD,WIDEOPEN",423876,572692,O2, ,BRACKET,LARGE, ,Solar,New,North Tyneside,OPERATING,ARUN
2058,DUDLEY LANE,424041,573834,C5, ,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ARUN
2059,DUDLEY LANE,424385,573704,C5, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
2060,"DUDLEY LN,SEATON BURN",424758,573613,C4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
2061,DUDLEY LANE CEMETERY,424717,573607,C5, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
2062,DUDLEY LANE,424226,573758,C5, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,INSIGNIA
2066,FISHER LANE,423583,574731,O3, ,STAINLESS STEEL,NORMAL, ,UNKOWN,New,North Tyneside,OPERATING,NONE
2067,"FISHER LN,SEATON BURN",423562,574719,X4, ,METAL,NORMAL, ,UNKOWN,New,North Tyneside,OPERATING,NONE
2068,HOLIDAY INN SEATON BURN,423335,574736,C2, ,BRACKET,LARGE, ,UNKOWN,New,North Tyneside,OPERATING,NBRLAND METAL
2069,HOLIDAY INN S/BURN,423287,574784,C3, ,METAL,NORMAL, ,UNKOWN,New,North Tyneside,OPERATING,NONE
2900,"BRIDGE ST,SEATON BURN",423943,573663,C5, ,STAINLESS STEEL,LARGE, ,NEARBY,New,North Tyneside,OPERATING,NONE
2903,FRONT STREET GARDEN CLOSE,423895,573917,C2, ,Stanless Steel,Normal, ,None,New,North Tyneside,OPERATING, 
3001,BENTON LANE,426715,570347,C5,0503/0152,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
3002,KILLINGWORTH DRIVE,426611,570704,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
3003,STATION ROAD,426911,571520,C5, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,INSIGNIA
3004,STATION ROAD CAMPERDOWN,426857,571989,O1, ,BRACKET,LARGE, ,Solar,New,North Tyneside,OPERATING,ABACUS
3005,FRONT STREET,426996,572185,O5, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ABACUS
3006,BURRADON ROAD BURRADON,427024,572461,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
3007,"BURRADON RD,BURRADON",427121,572870,X2, ,SHELTER,LARGE, ,UNKOWN,New,North Tyneside,OPERATING,ARUN
3008,BURRADON ROAD ANNITSFORD,427030,573545,O1, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,INSIGNIA
3009,FERN DRIVE ANNITSFORD,427011,573576,O1, ,BRACKET,LARGE, ,Solar,New,North Tyneside,OPERATING,COUNCIL
3010,FRONT STREET ANNITSFORD,427032,573873,O1, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
3011,"FRONT ST,ANNITSFORD",426985,574248,O4, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,INSIGNIA
3012,FRONT STREET,427004,574165,O5, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
3013,FRONT STREEET,427042,573842,O5, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ABACUS
3014,BURRADON ROAD,427046,573557,O6, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ABACUS
3015,"BURRADON RD,BURRADON",427019,572824,X4, ,BRACKET,LARGE, ,Solar,New,North Tyneside,OPERATING,ABACUS
3016,BURRADON ROAD,427080,572357,O4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
3017,"FRONT ST,BURRADON",426983,572166,X5, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
3018,STATION ROAD CAMPERDOWN,426869,571949,O1, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ABACUS
3019,STATION ROAD,426939,571350,C4,0503/0227,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
3020,"KILLINGWORTH DR,WEST MOOR",426598,570672,X3, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ABACUS
3021,BENTON LANE,426733,570445,C4,0503/0134,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
3022,WEETSLADE ROAD BURRADON,426936,572595,O1, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
3023,WESTLADE ROAD ETHEL TERRACE,426284,572939,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
3024,WEETSLADE ROAD DUDLEY,426188,573158,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
3025,WEETSLADE ROAD DUDLEY,426012,573479,O1, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,ARUN
3026,DUDLEY LANE MEADOWBANK,426092,573842,C5, ,BRACKET,LARGE, ,None,New,North Tyneside,OPERATING,ARUN
3027,DUDLEY LANE GRIEVES ROW,426065,574123,C5, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ABACUS
3028,DUDLEY LANE NORTHERN TERRACE,426136,574444,C5, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ARUN
3031,DUDLEY LANE NORTHERN TERRACE,426114,574293,C5, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ABACUS
3032,DUDLEY LANE GRIEVES ROW,426069,574105,C5, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ABACUS
3033,DUDLEY LANE MEADOWBANK,426107,573824,C5, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ABACUS
3034,WEETSLADE ROAD DUDLEY,426060,573423,O1, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ABACUS
3035,"WEETSLADE RD,DUDLEY",426211,573119,X4, ,BRACKET,LARGE, ,Solar,New,North Tyneside,OPERATING,ABACUS
3036,"WEETSLADE RD,DUDLEY",426306,572918,X4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
3037,WEETSLADE ROAD BURRADON,426892,572617,O1, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,TIMELINE
3038,"DUDLEY LANE,DUDLEY",425045,573602,C4, ,BRACKET,LARGE, ,AT STOP,Yes,North Tyneside,OPERATING,INSIGNIA
3039,"DUDLEY LANE,DUDLEY",425448,573673,C4, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,North Tyneside,OPERATING,NONE
3040,"DUDLEY LANE,DUDLEY",425696,573677,C4, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ABACUS
3041,"DUDLEY LANE,DUDLEY",425965,573612,C4, ,BRACKET,LARGE,CCTV,POWERED,Yes,North Tyneside,OPERATING,TIMELINE
3042,FERN DRIVE,426135,573747,C3, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ABACUS
3043,"FERN DRIVE,DUDLEY",426462,573597,X4, ,BRACKET,LARGE, ,Solar,New,North Tyneside,OPERATING,ABACUS
3044,"FERN DR,ANNITSFORD",426719,573609,X3, ,BRACKET,LARGE, ,None,New,North Tyneside,OPERATING,ARUN
3045,"FERN DR,ANNITSFORD",426719,573602,X3, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
3046,"FERN DRIVE,DUDLEY",426420,573583,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
3047,FERN DRIVE,426145,573741,C4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
3048,"DUDLEY LANE,DUDLEY",425947,573615,C4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
3049,"DUDLEY LANE,DUDLEY",425725,573668,C4, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ARUN
3050,DUDLEY LANE GREEN CRESCENT,425424,573660,C5, ,BRACKET,LARGE, ,Solar,New,North Tyneside,OPERATING,ABACUS
3051,DUDLEY LANE DUDLEY,425012,573594,C4, ,BRACKET,LARGE, ,AT STOP,Yes,North Tyneside,OPERATING,INSIGNIA
3052,GREAT LIME ROAD,428258,570285,C3,0503/0133,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
3053,"GREAT LIME RD,PALMERSVILLE",428678,570215,C3,0503/0160,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
3054,"GREAT LIME RD,PALMERSVILLE",429023,570139,C3,0503/0156,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
3055,GREAT LIME ROAD PALMERSVILLE,429471,570052,C4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,ARUN
3056,"GREAT LIME RD,PALMERSVILLE",429222,570082,C4,0503/0135,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
3057,"GREAT LIME RD,PALMERSVILLE",428986,570137,C3,0503/0137,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
3058,"GREAT LIME RD,PALMERSVILLE",428544,570234,C3,0503/0203,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
3059,FOREST HALL ROAD,428166,570151,C6, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
3060,"BACKWORTH LN,BACKWORTH",429687,572194,X4, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,INSIGNIA
3061,"BACKWORTH LN,BACKWORTH",429987,572253,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
3062,"BACKWORTH LN,BACKWORTH",429948,572242,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
3063,BACKWORTH LANE,429608,572163,O2, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,INSIGNIA
3064,GREAT LIME ROAD WEST MOOR,426826,570529,C6,0503/0140,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
3065,GREAT LIME ROAD,427236,570461,C5,0503/0153,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
3066,SOUTHGATE,427488,570829,C7,0503/0162,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
3067,SOUTHGATE KILLINGWORTH,427642,571095,C6, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,ARUN
3069,WEST BAILEY,427289,571614,C5, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,INSIGNIA
3070,"WEST BAILEY,KILLINGWORTH",426955,571449,C5, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,ARUN
3072,"WEST BAILEY,KILLINGWORTH",427068,571215,C3, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,ARUN
3073,"WEST BAILEY,KILLINGWORTH",427465,571255,C3, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,ARUN
3074,"WEST BAILEY,KILLINGWORTH",427407,571241,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
3075,"WEST BAILEY,K/WORTH (TER) removed",427351,571212,C3, ,Removed,None, ,Nearby,Yes,North Tyneside,DECOMMISSIONED,NONE
3076,"WEST BAILEY,KILLINGWORTH",427025,571208,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
3077,"WEST BAILEY,KILLINGWORTH",426938,571490,C5, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
3078,WEST BAILEY,427381,571637,C4, ,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,INSIGNIA
3080,SOUTHGATE,427629,571031,C6,0503/0154,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
3081,SOUTHGATE,427443,570725,C6,0503/0155,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
3082,GREAT LIME ROAD,427143,570460,C5,0503/0139,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
